Total_s150,Total_s220,Total_s380,Total_s66,Datum,Kabel_s150,Kabel_s220,Kabel_s380,Kabel_s66,Total_s132B,Kabel_s132B,Total_s66B,Kabel_s66B
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-25,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-26,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7242941.5023088185,2023-11-27,1245223.4544566353,25119.814821854165,28049.7849802,1555767.7803025355,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7267609.957457868,2023-11-28,1245223.4544566353,25119.814821854165,28049.7849802,1559392.170758033,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7267609.957457868,2023-11-29,1245223.4544566353,25119.814821854165,28049.7849802,1559392.170758033,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7267609.957457868,2023-11-30,1245223.4544566353,25119.814821854165,28049.7849802,1559392.170758033,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7267609.536264007,2023-12-01,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7267609.536264007,2023-12-02,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7267609.536264007,2023-12-03,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7267609.536264007,2023-12-04,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3622837.6958263665,4931389.762038622,1933006.4713207898,7267609.536264007,2023-12-05,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3622837.6958263665,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-06,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3622837.6958263665,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-07,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3622837.6958263665,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-08,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3622837.6958263665,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-09,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3622837.6958263665,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-10,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3622837.6958263665,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-11,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3622837.6958263665,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-12,1245223.4544566353,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-13,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-14,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-15,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-16,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-17,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-18,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-19,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4931522.003521794,1933006.4713207898,7267559.306610147,2023-12-20,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4886095.122177195,1978374.5793255048,7267500.533270261,2023-12-21,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4886095.122177195,1978374.5793255048,7267500.533270261,2023-12-22,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4886095.122177195,1978374.5793255048,7267500.533270261,2023-12-23,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4886095.122177195,1978374.5793255048,7267500.533270261,2023-12-24,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4886095.122177195,1978374.5793255048,7267500.533270261,2023-12-25,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4886095.122177195,1978374.5793255048,7267500.533270261,2023-12-26,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4886095.122177195,1978374.5793255048,7267500.533270261,2023-12-27,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
3623316.5343114315,4886095.122177195,1978374.5793255048,7267500.533270261,2023-12-28,1245702.2929417002,25119.814821854165,28049.7849802,1559391.7495641715,1,1,1,1
