StromnetzTyp,StationTyp,Anzahl,Datum
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-07
Allgemeinstrom,Unterwerk,299,2023-09-07
Allgemeinstrom,Kraftwerk,5,2023-09-08
Allgemeinstrom,Transformatorenstation,186,2023-09-08
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-08
Allgemeinstrom,Unterwerk,299,2023-09-08
Allgemeinstrom,Kraftwerk,5,2023-09-09
Allgemeinstrom,Transformatorenstation,186,2023-09-09
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-09
Allgemeinstrom,Unterwerk,307,2023-09-09
Allgemeinstrom,Kraftwerk,5,2023-09-10
Allgemeinstrom,Transformatorenstation,186,2023-09-10
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-10
Allgemeinstrom,Unterwerk,307,2023-09-10
Allgemeinstrom,Kraftwerk,5,2023-09-11
Allgemeinstrom,Transformatorenstation,186,2023-09-11
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-11
Allgemeinstrom,Unterwerk,307,2023-09-11
Allgemeinstrom,Kraftwerk,5,2023-09-12
Allgemeinstrom,Schaltstation,1,2023-09-12
Allgemeinstrom,Transformatorenstation,188,2023-09-12
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-12
Allgemeinstrom,Unterwerk,307,2023-09-12
Allgemeinstrom,Kraftwerk,5,2023-09-13
Allgemeinstrom,Schaltstation,1,2023-09-13
Allgemeinstrom,Transformatorenstation,188,2023-09-13
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-13
Allgemeinstrom,Unterwerk,307,2023-09-13
Allgemeinstrom,Kraftwerk,5,2023-09-14
Allgemeinstrom,Schaltstation,1,2023-09-14
Allgemeinstrom,Transformatorenstation,188,2023-09-14
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-14
Allgemeinstrom,Unterwerk,307,2023-09-14
Allgemeinstrom,Kraftwerk,5,2023-09-15
Allgemeinstrom,Schaltstation,1,2023-09-15
Allgemeinstrom,Transformatorenstation,188,2023-09-15
Allgemeinstrom,Uebergangsbauwerk,3,2023-09-15
Allgemeinstrom,Unterwerk,307,2023-09-15
Allgemeinstrom,Kraftwerk,5,2023-09-16
Allgemeinstrom,Schaltstation,1,2023-09-16
Allgemeinstrom,Transformatorenstation,188,2023-09-16
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-16
Allgemeinstrom,Unterwerk,313,2023-09-16
Allgemeinstrom,Kraftwerk,5,2023-09-17
Allgemeinstrom,Schaltstation,1,2023-09-17
Allgemeinstrom,Transformatorenstation,188,2023-09-17
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-17
Allgemeinstrom,Unterwerk,313,2023-09-17
Allgemeinstrom,Kraftwerk,5,2023-09-18
Allgemeinstrom,Schaltstation,1,2023-09-18
Allgemeinstrom,Transformatorenstation,188,2023-09-18
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-18
Allgemeinstrom,Unterwerk,313,2023-09-18
Allgemeinstrom,Kraftwerk,5,2023-09-19
Allgemeinstrom,Schaltstation,1,2023-09-19
Allgemeinstrom,Transformatorenstation,188,2023-09-19
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-19
Allgemeinstrom,Unterwerk,313,2023-09-19
Allgemeinstrom,Kraftwerk,5,2023-09-20
Allgemeinstrom,Schaltstation,1,2023-09-20
Allgemeinstrom,Transformatorenstation,188,2023-09-20
Allgemeinstrom,Uebergangsbauwerk,6,2023-09-20
Allgemeinstrom,Unterwerk,313,2023-09-20
